symbol,name,currency,exchange,mic_code,country,type
AGNCP,AGNC Investment Corp,USD,NASDAQ,XNGS,United States,Preferred Stock
AGRI,"AgriFORCE Growing Systems, Ltd.",USD,NASDAQ,XNCM,United States,Common Stock
AGRIW,AgriFORCE Growing Systems Ltd.,USD,NASDAQ,XNCM,United States,Common Stock
AGRX,Agile Therapeutics Inc,USD,NASDAQ,XNCM,United States,Common Stock
AGYS,Agilysys Inc,USD,NASDAQ,XNGS,United States,Common Stock
AHCO,AdaptHealth Corp,USD,NASDAQ,XNCM,United States,Common Stock
AHG,599855,USD,NASDAQ,XNMS,United States,Depositary Receipt
AHI,Avadim Health Inc,USD,NASDAQ,XNCM,United States,Common Stock
AHPA,Avista Public Acquisition Corp. II,USD,NASDAQ,XNCM,United States,Common Stock
AHRN,Ahren Acquisition Corp.,USD,NASDAQ,XNMS,United States,Common Stock
AHRNU,Ahren Acquisition Corp. Unit,USD,NASDAQ,XNMS,United States,Unit
AHRNW,Ahren Acquisition Corp.,USD,NASDAQ,XNMS,United States,Common Stock
AIB,AIB Acquisition Corporation,USD,NASDAQ,XNMS,United States,Common Stock
AIBBR,AIB Acquisition Corporation,USD,NASDAQ,XNMS,United States,Common Stock
AIBBU,AIB Acquisition Corp,USD,NASDAQ,XNMS,United States,Unit
AIH,Aesthetic Medical International Holdings Group Ltd,USD,NASDAQ,XNCM,United States,Depositary Receipt
AIHS,Senmiao Technology Ltd,USD,NASDAQ,XNCM,United States,Common Stock
AIMAU,Aimfinity Investment Corp. I,USD,NASDAQ,XNMS,United States,Common Stock
AIMAW,Aimfinity Investment Corp. I,USD,NASDAQ,XNGS,United States,Common Stock
AIMBU,Aimfinity Investment Corp. I - Subunit,USD,NASDAQ,XNMS,United States,Common Stock
AIMC,Altra Industrial Motion Corp,USD,NASDAQ,XNGS,United States,Common Stock
AIMD,"Ainos, Inc.",USD,NASDAQ,XNCM,United States,Common Stock
AIMDW,"Ainos, Inc.",USD,NASDAQ,XNMS,United States,Common Stock
AIP,"Arteris, Inc.",USD,NASDAQ,XNMS,United States,Common Stock
AIRG,Airgain Inc,USD,NASDAQ,XNCM,United States,Common Stock
AIRS,"AirSculpt Technologies, Inc.",USD,NASDAQ,XNMS,United States,Common Stock
AIRT,Air T Inc,USD,NASDAQ,XNMS,United States,Common Stock
AIRTP,Air T Funding,USD,NASDAQ,XNMS,United States,Preferred Stock
AKAM,Akamai Technologies Inc,USD,NASDAQ,XNGS,United States,Common Stock
AKAN,Akanda Corp.,USD,NASDAQ,XNCM,United States,Common Stock
AKBA,Akebia Therapeutics Inc,USD,NASDAQ,XNCM,United States,Common Stock
AKLI,Akili Inc,USD,NASDAQ,XNCM,United States,Common Stock
AKRO,Akero Therapeutics Inc,USD,NASDAQ,XNGS,United States,Common Stock
AKTS,Akoustis Technologies Inc,USD,NASDAQ,XNCM,United States,Common Stock
AKTX,Akari Therapeutics PLC,USD,NASDAQ,XNCM,United States,Depositary Receipt
AKU,Akumin Inc.,USD,NASDAQ,XNCM,United States,Common Stock
AKYA,"Akoya Biosciences, Inc.",USD,NASDAQ,XNGS,United States,Common Stock
ALAR,Alarum Technologies Ltd.,USD,NASDAQ,XNCM,United States,Common Stock
ALBO,Albireo Pharma Inc,USD,NASDAQ,XNCM,United States,Common Stock
ALBT,Avalon GloboCare Corp.,USD,NASDAQ,XNCM,United States,Common Stock
ALCO,Alico Inc,USD,NASDAQ,XNGS,United States,Common Stock
ALDX,Aldeyra Therapeutics Inc,USD,NASDAQ,XNCM,United States,Common Stock
ALEC,Alector Inc,USD,NASDAQ,XNGS,United States,Common Stock
ALGM,Allegro MicroSystems Inc,USD,NASDAQ,XNGS,United States,Common Stock
ALGN,Align Technology Inc,USD,NASDAQ,XNGS,United States,Common Stock
ALGS,Aligos Therapeutics Inc,USD,NASDAQ,XNGS,United States,Common Stock
ALGT,Allegiant Travel Co,USD,NASDAQ,XNGS,United States,Common Stock
ALHC,"Alignment Healthcare, Inc.",USD,NASDAQ,XNGS,United States,Common Stock
ALIM,Alimera Sciences Inc,USD,NASDAQ,XNMS,United States,Common Stock
ALKS,Alkermes PLC,USD,NASDAQ,XNGS,United States,Common Stock
ALKT,"Alkami Technology, Inc.",USD,NASDAQ,XNGS,United States,Common Stock
ALLK,Allakos Inc,USD,NASDAQ,XNGS,United States,Common Stock
ALLO,Allogene Therapeutics Inc,USD,NASDAQ,XNGS,United States,Common Stock
ALLR,"Allarity Therapeutics, Inc.",USD,NASDAQ,XNMS,United States,Common Stock
ALLT,Allot Ltd,USD,NASDAQ,XNGS,United States,Common Stock
ALNY,Alnylam Pharmaceuticals Inc,USD,NASDAQ,XNGS,United States,Common Stock
ALOR,ALSP Orchid Acquisition Corporation I,USD,NASDAQ,XNMS,United States,Common Stock
ALORU,ALSP Orchid Acquisition Corporation I Unit,USD,NASDAQ,XNMS,United States,Unit
ALORW,ALSP Orchid Acquisition Corporation I,USD,NASDAQ,XNMS,United States,Common Stock
ALOT,AstroNova Inc,USD,NASDAQ,XNMS,United States,Common Stock
ALPA,Alpha Healthcare Acquisition Corp. III,USD,NASDAQ,XNCM,United States,Common Stock
ALPAU,Alpha Healthcare Acquisition Corp. III,USD,NASDAQ,XNCM,United States,Unit
ALPN,Alpine Immune Sciences Inc,USD,NASDAQ,XNMS,United States,Common Stock
ALPP,Alpine 4 Technologies Ltd.,USD,NASDAQ,XNCM,United States,Common Stock
ALPS,"Alpine Summit Energy Partners, Inc.",USD,NASDAQ,XNMS,United States,Common Stock
ALR,AlerisLife Inc.,USD,NASDAQ,XNCM,United States,Common Stock
ALRM,Alarm.com Holdings Inc,USD,NASDAQ,XNGS,United States,Common Stock
ALRN,Aileron Therapeutics Inc,USD,NASDAQ,XNCM,United States,Common Stock
ALRS,Alerus Financial Corp,USD,NASDAQ,XNCM,United States,Common Stock
ALSA,Alpha Star Acquisition Corporation,USD,NASDAQ,XNMS,United States,Common Stock
ALSAR,Alpha Star Acquisition Corporation,USD,NASDAQ,XNMS,United States,Common Stock
ALSAU,Alpha Star Acquisition Corporation,USD,NASDAQ,XNMS,United States,Unit
ALSAW,Alpha Star Acquisition Corporation,USD,NASDAQ,XNMS,United States,Common Stock
ALT,Altimmune Inc,USD,NASDAQ,XNMS,United States,Common Stock
ALTI,Cartesian Growth Corporation,USD,NASDAQ,XNCM,United States,Common Stock
ALTIW,"Alvarium Tiedemann Holdings, Inc.",USD,NASDAQ,XNMS,United States,Common Stock
ALTO,"Alto Ingredients, Inc.",USD,NASDAQ,XNCM,United States,Common Stock
ALTR,Altair Engineering Inc,USD,NASDAQ,XNGS,United States,Common Stock
ALTU,Altitude Acquisition Corp.,USD,NASDAQ,XNCM,United States,Common Stock
ALTUU,Altitude Acquisition Corp.,USD,NASDAQ,XNCM,United States,Unit
ALTUW,Altitude Acquisition Corp.,USD,NASDAQ,XNCM,United States,Common Stock
ALVO,Alvotech,USD,NASDAQ,XNMS,United States,Common Stock
ALVOW,Alvotech,USD,NASDAQ,XNMS,United States,Common Stock
ALVR,"AlloVir, Inc.",USD,NASDAQ,XNGS,United States,Common Stock
ALXO,ALX Oncology Holdings Inc.,USD,NASDAQ,XNGS,United States,Common Stock
ALYA,Alithya Group Inc,USD,NASDAQ,XNCM,United States,Common Stock
ALZN,"Alzamend Neuro, Inc.",USD,NASDAQ,XNCM,United States,Common Stock
AMAL,Amalgamated Bank,USD,NASDAQ,XNMS,United States,Common Stock
AMAM,Ambrx Biopharma Inc.,USD,NASDAQ,XNGS,United States,Common Stock
AMAO,American Acquisition Opportunity Inc.,USD,NASDAQ,XNCM,United States,Common Stock
AMAOU,American Acquisition Opportunity Inc.,USD,NASDAQ,XNCM,United States,Unit
AMAOW,American Acquisition Opportunity Inc.,USD,NASDAQ,XNCM,United States,Common Stock
AMAT,Applied Materials Inc,USD,NASDAQ,XNGS,United States,Common Stock
AMBA,Ambarella Inc,USD,NASDAQ,XNGS,United States,Common Stock
AMCI,AMCI Acquisition Corp,USD,NASDAQ,XNCM,United States,Common Stock
AMCIU,AMCI Acquisition Corp,USD,NASDAQ,XNCM,United States,Unit
AMCX,AMC Networks Inc,USD,NASDAQ,XNGS,United States,Common Stock
AMD,Advanced Micro Devices Inc,USD,NASDAQ,XNGS,United States,Common Stock
AMED,Amedisys Inc,USD,NASDAQ,XNGS,United States,Common Stock
AMEH,Apollo Medical Holdings Inc,USD,NASDAQ,XNCM,United States,Common Stock
AMGN,Amgen Inc,USD,NASDAQ,XNGS,United States,Common Stock
AMKR,Amkor Technology Inc,USD,NASDAQ,XNGS,United States,Common Stock
AMLI,AMERICAN LITHIUM CORP,USD,NASDAQ,XNCM,United States,Common Stock
AMLX,"Amylyx Pharmaceuticals, Inc.",USD,NASDAQ,XNGS,United States,Common Stock
AMNB,American National Bankshares Inc,USD,NASDAQ,XNGS,United States,Common Stock
AMOT,Allied Motion Technologies Inc,USD,NASDAQ,XNMS,United States,Common Stock
AMPG,Amplitech Group Inc.,USD,NASDAQ,XNCM,United States,Common Stock
AMPGW,"AmpliTech Group, Inc.",USD,NASDAQ,XNCM,United States,Common Stock
AMPH,Amphastar Pharmaceuticals Inc,USD,NASDAQ,XNGS,United States,Common Stock
AMPL,"Amplitude, Inc.",USD,NASDAQ,XNCM,United States,Common Stock
AMRK,A-Mark Precious Metals Inc,USD,NASDAQ,XNGS,United States,Common Stock
AMRN,Amarin Corp PLC,USD,NASDAQ,XNMS,United States,Depositary Receipt
AMRS,Amyris Inc,USD,NASDAQ,XNGS,United States,Common Stock
AMSC,American Superconductor Corp,USD,NASDAQ,XNGS,United States,Common Stock
AMSF,AMERISAFE Inc,USD,NASDAQ,XNGS,United States,Common Stock
AMST,Amesite Operating Co,USD,NASDAQ,XNCM,United States,Common Stock
AMSWA,American Software Inc-GA,USD,NASDAQ,XNGS,United States,Common Stock
AMTB,Amerant Bancorp Inc,USD,NASDAQ,XNGS,United States,Common Stock
AMTI,Applied Molecular Transport Inc.,USD,NASDAQ,XNGS,United States,Common Stock
AMTX,Aemetis Inc,USD,NASDAQ,XNMS,United States,Common Stock
AMV,Atlis Motor Vehicles Inc,USD,NASDAQ,XNMS,United States,Common Stock
AMWD,American Woodmark Corp,USD,NASDAQ,XNGS,United States,Common Stock
AMYT,Amryt Pharma plc,USD,NASDAQ,XNGS,United States,Common Stock
AMZN,Amazon.com Inc,USD,NASDAQ,XNGS,United States,Common Stock
ANAB,AnaptysBio Inc,USD,NASDAQ,XNGS,United States,Common Stock
ANDE,Andersons Inc-The,USD,NASDAQ,XNGS,United States,Common Stock
ANEB,"Anebulo Pharmaceuticals, Inc.",USD,NASDAQ,XNCM,United States,Common Stock
ANGH,Anghami Inc.,USD,NASDAQ,XNMS,United States,Common Stock
ANGHW,Anghami Inc.,USD,NASDAQ,XNMS,United States,Common Stock
ANGI,ANGI Homeservices Inc,USD,NASDAQ,XNGS,United States,Common Stock
ANGN,Angion Biomedica Corp.,USD,NASDAQ,XNGS,United States,Common Stock
ANGO,AngioDynamics Inc,USD,NASDAQ,XNGS,United States,Common Stock
ANIK,Anika Therapeutics Inc,USD,NASDAQ,XNGS,United States,Common Stock
ANIP,ANI Pharmaceuticals Inc,USD,NASDAQ,XNMS,United States,Common Stock
ANIX,Anixa Biosciences Inc,USD,NASDAQ,XNCM,United States,Common Stock
ANNX,"Annexon, Inc.",USD,NASDAQ,XNGS,United States,Common Stock
ANPC,Anpac Bio-Medical Science Co Ltd,USD,NASDAQ,XNCM,United States,Depositary Receipt
ANSS,ANSYS Inc,USD,NASDAQ,XNGS,United States,Common Stock
ANTE,AirNet Technology Inc,USD,NASDAQ,XNCM,United States,Depositary Receipt
ANTX,"AN2 Therapeutics, Inc.",USD,NASDAQ,XNGS,United States,Common Stock
ANY,Sphere 3D Corp,USD,NASDAQ,XNCM,United States,Common Stock
ANZU,Anzu Special Acquisition Corp I,USD,NASDAQ,XNCM,United States,Common Stock
ANZUU,Anzu Special Acquisition Corp I,USD,NASDAQ,XNCM,United States,Unit
ANZUW,Anzu Special Acquisition Corp I,USD,NASDAQ,XNCM,United States,Common Stock
AOGO,Arogo Capital Acquisition Corp,USD,NASDAQ,XNMS,United States,Common Stock
AOGOU,Arogo Capital Acquisition Corp,USD,NASDAQ,XNMS,United States,Unit
AOGOW,Arogo Capital Acquisition Corp.,USD,NASDAQ,XNMS,United States,Common Stock
AOSL,Alpha & Omega Semiconductor Ltd,USD,NASDAQ,XNGS,United States,Common Stock
AOUT,American Outdoor Brands Inc,USD,NASDAQ,XNGS,United States,Common Stock
APA,Apache Corp,USD,NASDAQ,XNGS,United States,Common Stock
APAC,StoneBridge Acquisition Corporation,USD,NASDAQ,XNCM,United States,Common Stock
APACU,StoneBridge Acquisition Corporation,USD,NASDAQ,XNCM,United States,Unit
APACW,StoneBridge Acquisition Corporation,USD,NASDAQ,XNMS,United States,Common Stock
APCX,AppTech Corp.,USD,NASDAQ,XNCM,United States,Common Stock
APCXW,AppTech Payments Corp.,USD,NASDAQ,XNMS,United States,Common Stock
APDN,Applied DNA Sciences Inc,USD,NASDAQ,XNCM,United States,Common Stock
APEI,American Public Education Inc,USD,NASDAQ,XNGS,United States,Common Stock
APEN,Apollo Endosurgery Inc,USD,NASDAQ,XNMS,United States,Common Stock
APGN,"Apexigen, Inc.",USD,NASDAQ,XNCM,United States,Common Stock
APGNW,"Apexigen, Inc.",USD,NASDAQ,XNMS,United States,Common Stock
API,Agora Inc,USD,NASDAQ,XNGS,United States,American Depositary Receipt
APLD,"Applied Science Products, Inc.",USD,NASDAQ,XNGS,United States,Common Stock
APLS,Apellis Pharmaceuticals Inc,USD,NASDAQ,XNGS,United States,Common Stock
APLT,Applied Therapeutics Inc,USD,NASDAQ,XNMS,United States,Common Stock
APM,Aptorum Group Ltd,USD,NASDAQ,XNMS,United States,Common Stock
APMI,AxonPrime Infrastructure Acquisition Corporation Class A Common Stock,USD,NASDAQ,XNCM,United States,Common Stock
APMIU,AxonPrime Infrastructure Acquisition Corporation,USD,NASDAQ,XNCM,United States,Unit
